 T(YR)=   100.00000000000000     
 ( H  He C  N  O  SI S  FE NA MG CL P F)
   1000000.0000000582        90000.000000000480        170.00000013163950        61.999999999142943        240.00000000131317        7.9999999941854846E-003   8.0000000158769249E-002   2.9999999999999996E-003   2.0000000000000013E-003   7.0000000000000201E-003   1.0000000000007405E-003   2.0000000000003039E-004   6.6800000004131437E-003
        3475   2.2900302738080244E-018
          95   1.8387759827412300E-019
        6802   8.9322781101802849E-020
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   5.5516086451901043E-014
        2130  -2.0631840332456968E-014
        2129  -2.0631840332456968E-014
        2039  -7.1255260436045070E-015
        2038  -7.1255260436045070E-015
        1732  -6.9486737900452614E-019
 SiN       
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   7.1600285048294814E-015
        2039   7.1255260436045070E-015
        2040   3.1007993846070792E-017
         793   3.3644292330842980E-018
        6870   5.2948789212896575E-020
        2882   5.2275962100592863E-020
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   7.9622103168868216E-015
        2133  -3.9810564787425619E-015
        2132  -3.9810564787425619E-015
        2201  -6.2425363566716752E-020
        1239  -8.4215661198844094E-021
        5369  -8.3681379264641336E-021
 SiS       
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   3.3822033723388181E-019
        6579   3.3822033723388181E-019
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.2657534167313674E-020
        1735  -1.4338648342878962E-020
        2203  -5.2755649241188216E-021
        5370  -6.8843457213371766E-022
         575  -6.8843457213371766E-022
        5220  -4.8250258605294426E-022
 CCl       
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   5.1729312573058321E-018
        6809   5.1729312573058321E-018
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   5.3223596721502973E-018
        2114  -5.3223465102734829E-018
        5068  -6.9072731552721952E-024
        1207  -3.5074436798130467E-024
         208  -2.7471599799080614E-024
