!
! 19-DEC-2018 15:17:26
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 12 18 /OUTPUT smm34_hcn10_red_3.txt
!
 1     33.286   -211.850 -3.98042E-02
 304    165.136     -6.750   1.1994    
 305    179.786     -6.750   1.4376    
 306    194.436     -6.750   1.1794    
 307    209.086     -6.750  0.88999    
 308    223.736     -6.750   1.3411    
 309    238.386     -6.750   2.0117    
 310    223.736      7.900   1.2975    
 311    209.086      7.900  0.87491    
 312    194.436      7.900   1.0896    
 313    179.786      7.900   1.4263    
 314    165.136      7.900   1.1332    
 315    150.486      7.900   1.1801    
 316    135.836      7.900  0.83502    
 317    121.186      7.900  0.98913    
 318    106.536      7.900  0.85783    
 319     91.886      7.900  0.52253    
 320     77.236      7.900  0.62287    
 321     62.586      7.900   1.0314    
 322     47.936      7.900  0.92196    
 323     33.286      7.900   1.0854    
 324     18.636      7.900   1.4768    
 325      3.986      7.900   2.1379    
 326    -10.664      7.900   2.3249    
 327    -25.314      7.900   1.6904    
 328    -39.964      7.900   1.6032    
 329    -54.614      7.900   1.3869    
 330    -69.264      7.900  0.69113    
 331    -83.914      7.900  0.64225    
 332    -83.914     22.550  0.54699    
 333    -69.264     22.550  0.58261    
 334    -54.614     22.550   1.1148    
 335    -39.964     22.550   1.1313    
 336    -25.314     22.550   1.4493    
 337    -10.664     22.550   1.8941    
 338      3.986     22.550   1.9623    
 339     18.636     22.550   1.4097    
 340     33.286     22.550   1.9115    
 341     47.936     22.550   1.2838    
 342     62.586     22.550   1.6086    
 343     77.236     22.550   1.7201    
 344     91.886     22.550  0.52257    
 345    106.536     22.550  0.85850    
 346    121.186     22.550  0.98712    
 347    135.836     22.550  0.83852    
 348    150.486     22.550   1.1861    
 349    165.136     22.550   1.1318    
 350    179.786     22.550   1.4268    
 351    194.436     22.550   1.0877    
 352    209.086     22.550  0.87318    
 353     77.236     37.200  0.48395    
 354     62.586     37.200  0.49135    
 355     47.936     37.200  0.90820    
 356     33.286     37.200   1.6234    
 357     18.636     37.200   1.6451    
 358      3.986     37.200   1.6163    
 359    -10.664     37.200   1.7032    
 360    -25.314     37.200   1.4420    
 361    -39.964     37.200   1.1780    
 362    -54.614     37.200   1.0457    
 363    -69.264     37.200  0.47095    
 364    -83.914     37.200  0.44016    
 365    -83.914     51.850  0.71769    
 366    -69.264     51.850  0.74450    
 367    -54.614     51.850  0.85232    
 368    -39.964     51.850   1.3881    
 369    -25.314     51.850   2.3087    
 370    -10.664     51.850   2.8034    
 371      3.986     51.850   1.7920    
 372     18.636     51.850   1.1033    
 373     33.286     51.850  0.87174    
 374     47.936     51.850  0.72133    
 375     62.586     51.850  0.48674    
 376     77.236     51.850  0.46116    
 377     77.236     66.500  0.84897    
 378     62.586     66.500  0.83263    
 379     47.936     66.500  0.50565    
 380     33.286     66.500  0.42381    
 381     18.636     66.500  0.97603    
 382      3.986     66.500   3.4829    
 383    -10.664     66.500   6.1461    
 384    -25.314     66.500   4.6388    
 385    -39.964     66.500   2.2884    
 386    -54.614     66.500   1.4659    
 387    -69.264     66.500  0.71640    
 388    -83.914     66.500  0.65450    
 389    -83.914     81.150   1.2172    
 390    -69.264     81.150   1.2508    
 391    -54.614     81.150   1.5057    
 392    -39.964     81.150   2.6345    
 393    -25.314     81.150   5.3191    
 394    -10.664     81.150   6.0083    
 395      3.986     81.150   2.6171    
 396     18.636     81.150  0.57898    
 397     33.286     81.150  0.49947    
 398     47.936     81.150  0.95575    
 399     62.586     81.150  0.39941    
 400     77.236     81.150  0.38760    
 401     77.236     95.800  0.46632    
 402     62.586     95.800  0.48264    
 403     47.936     95.800  0.47891    
 404     33.286     95.800  0.29316    
 405     18.636     95.800  0.89966    
 406      3.986     95.800   1.4661    
 407    -10.664     95.800   3.8319    
 408    -25.314     95.800   3.7065    
 409    -39.964     95.800   2.3491    
 410    -54.614     95.800   1.6312    
 411    -69.264     95.800   1.1588    
 412    -83.914     95.800   1.1245    
 413    -83.914    110.450   1.3364    
 414    -69.264    110.450   1.3547    
 415    -54.614    110.450   1.4909    
 416    -39.964    110.450   1.5363    
 417    -25.314    110.450   1.8577    
 418    -10.664    110.450   1.8403    
 419      3.986    110.450  0.82652    
 420     18.636    110.450  0.65780    
 421     33.286    110.450  0.75661    
 422     47.936    110.450  0.70475    
 423     62.586    110.450  0.45422    
 424     77.236    110.450  0.45052    
 425     77.236    125.100  0.26734    
 426     62.586    125.100  0.31039    
 427     47.936    125.100  0.78463    
 428     33.286    125.100   1.0160    
 429     18.636    125.100  0.80156    
 430      3.986    125.100  0.81046    
 431    -10.664    125.100   1.4194    
 432    -25.314    125.100   1.4239    
 433    -39.964    125.100  0.81256    
 434    -54.614    125.100  0.99710    
 435    -69.264    125.100   1.0681    
 436    -83.914    125.100   1.0669    
 437    -83.914    139.750  0.56824    
 438    -69.264    139.750  0.62808    
 439    -54.614    139.750  0.87226    
 440    -39.964    139.750   1.4506    
 441    -25.314    139.750   1.1601    
 442    -10.664    139.750  0.86476    
 443      3.986    139.750  0.80581    
 444     18.636    139.750  0.98786    
 445     33.286    139.750  0.68619    
 446     47.936    139.750  0.67767    
 447     62.586    139.750  8.95934E-02
 448     77.236    139.750 -2.02065E-02
 449     62.586    154.400   1.0299    
 450     47.936    154.400   1.1432    
 451     33.286    154.400   1.0888    
 452     18.636    154.400  0.84806    
 453      3.986    154.400   1.0026    
 454    -10.664    154.400  0.78088    
 455    -25.314    154.400   1.1475    
 456    -39.964    154.400  0.68085    
 457    -54.614    154.400  0.65626    
 458    -69.264    154.400  0.93382    
 459    -83.914    154.400  0.62131    
 460    -69.264    169.050  0.93555    
 461    -54.614    169.050  0.65624    
 462    -39.964    169.050  0.68083    
 463    -25.314    169.050   1.1476    
 464    -10.664    169.050  0.78088    
 465      3.986    169.050   1.0026    
 466     18.636    169.050  0.84804    
 467     33.286    169.050   1.0888    
 468     47.936    169.050   1.1432    
 469     62.586    169.050   1.0309    
