!
! 18-DEC-2018 16:15:02
! Input file  : serpens_co65_conv.30m
! Input command: ANALYSE\PRINT area -13.5 6 /OUTPUT smm3_co65_blue.txt
!
 487    134.064   -162.600   10.240    
 488    129.264   -162.600   6.5452    
 489    124.464   -162.600   4.1273    
 490    119.664   -162.600   4.9461    
 491    114.864   -162.600   4.9593    
 492    110.064   -162.600   5.0995    
 493    105.264   -162.600   3.6546    
 494    100.464   -162.600   4.2817    
 495     95.664   -162.600   4.3150    
 496     90.864   -162.600   1.8703    
 497     86.064   -162.600   2.4185    
 498     81.264   -162.600   1.7578    
 499     76.464   -162.600   3.2957    
 500     71.664   -162.600  0.31471    
 501     66.864   -162.600  -2.1216    
 502     62.064   -162.600   1.3828    
 503     57.264   -162.600  -1.4891    
 504     52.464   -162.600  -1.1257    
 505     47.664   -162.600  -3.8301    
 506     42.864   -162.600 -0.56580    
 507     38.064   -162.600 -0.82959    
 508     33.264   -162.600  -2.2074    
 509     28.464   -162.600  4.29684E-02
 510     23.664   -162.600   1.2343    
 511     18.864   -162.600  0.95565    
 512     14.064   -162.600  -2.5427    
 513      9.264   -162.600  -1.3837    
 514      4.464   -162.600   3.4292    
 515     -0.336   -162.600   5.0072    
 516     -5.136   -162.600  -1.5654    
 517     -9.936   -162.600   1.0990    
 518    -14.736   -162.600   1.1011    
 519    -14.736   -157.800   1.1011    
 520     -9.936   -157.800  -6.4192    
 521     -5.136   -157.800  -5.6981    
 522     -0.336   -157.800   1.7786    
 523      4.464   -157.800   2.2499    
 524      9.264   -157.800 -0.45633    
 525     14.064   -157.800  -1.9854    
 526     18.864   -157.800 -0.53646    
 527     23.664   -157.800  0.13860    
 528     28.464   -157.800  0.63993    
 529     33.264   -157.800  0.42139    
 530     38.064   -157.800   1.3821    
 531     42.864   -157.800  -2.3768    
 532     47.664   -157.800  0.19415    
 533     52.464   -157.800   1.4792    
 534     57.264   -157.800  0.13909    
 535     62.064   -157.800   2.4494    
 536     66.864   -157.800   1.9790    
 537     71.664   -157.800   3.5624    
 538     76.464   -157.800 -0.14963    
 539     81.264   -157.800   2.8022    
 540     86.064   -157.800   3.7782    
 541     90.864   -157.800   4.6282    
 542     95.664   -157.800   1.1835    
 543    100.464   -157.800   4.1132    
 544    105.264   -157.800   3.8201    
 545    110.064   -157.800   4.0369    
 546    114.864   -157.800   7.1134    
 547    119.664   -157.800   4.5235    
 548    124.464   -157.800   3.9915    
 549    129.264   -157.800   5.0879    
 550    134.064   -157.800   10.092    
 551    138.864   -157.800   15.743    
 552    143.664   -157.800   18.571    
 553    148.464   -157.800   16.044    
 554    153.264   -157.800   7.4789    
 555    158.064   -157.800   6.8405    
 556    162.864   -157.800   7.0469    
 557    167.664   -157.800   8.8020    
 558    172.464   -157.800   9.0129    
 559    177.264   -157.800   4.6928    
 560    182.064   -157.800   4.2800    
 561    186.864   -157.800   1.9909    
 562    191.664   -157.800   4.2728    
 563    196.464   -157.800  0.59225    
 564    201.264   -157.800   1.6557    
 565    206.064   -157.800  0.88600    
 566    210.864   -157.800  -9.9657    
 567    215.664   -157.800  -10.816    
 568    215.664   -153.000   1.6960    
 569    210.864   -153.000   1.4456    
 570    206.064   -153.000   2.4966    
 571    201.264   -153.000  -1.2368    
 572    196.464   -153.000   1.5018    
 573    191.664   -153.000 -0.43570    
 574    186.864   -153.000  -1.8845    
 575    182.064   -153.000 -0.19838    
 576    177.264   -153.000   2.4526    
 577    172.464   -153.000   10.213    
 578    167.664   -153.000   12.325    
 579    162.864   -153.000   7.4741    
 580    158.064   -153.000   8.7314    
 581    153.264   -153.000   10.417    
 582    148.464   -153.000   9.9997    
 583    143.664   -153.000   14.339    
 584    138.864   -153.000   13.959    
 585    134.064   -153.000   6.0472    
 586    129.264   -153.000   5.5208    
 587    124.464   -153.000   6.3270    
 588    119.664   -153.000   2.5611    
 589    114.864   -153.000   9.0709    
 590    110.064   -153.000   1.6844    
 591    105.264   -153.000   7.0759    
 592    100.464   -153.000   2.4840    
 593     95.664   -153.000   2.6455    
 594     90.864   -153.000   3.9781    
 595     86.064   -153.000   4.4760    
 596     81.264   -153.000  0.16408    
 597     76.464   -153.000   1.7093    
 598     71.664   -153.000   1.5314    
 599     66.864   -153.000  -2.0455    
 600     62.064   -153.000  0.67283    
 601     57.264   -153.000   2.0920    
 602     52.464   -153.000  0.66591    
 603     47.664   -153.000  0.27442    
 604     42.864   -153.000  -1.2314    
 605     38.064   -153.000  0.38069    
 606     33.264   -153.000  -2.7974    
 607     28.464   -153.000  -2.1142    
 608     23.664   -153.000  -2.6181    
 609     18.864   -153.000  0.55014    
 610     14.064   -153.000   2.5283    
 611      9.264   -153.000  -2.9342    
 612      4.464   -153.000  -4.6980    
 613     -0.336   -153.000 -0.10812    
 614     -5.136   -153.000  -1.5011    
 615     -9.936   -153.000  -3.7932    
 616     -9.936   -148.200  -1.6160    
 617     -5.136   -148.200  -2.2854    
 618     -0.336   -148.200  -3.4005    
 619      4.464   -148.200  3.84904E-02
 620      9.264   -148.200  -9.3671    
 621     14.064   -148.200  -1.1076    
 622     18.864   -148.200 -0.85804    
 623     23.664   -148.200   1.6784    
 624     28.464   -148.200 -0.62323    
 625     33.264   -148.200 -0.35491    
 626     38.064   -148.200  0.95772    
 627     42.864   -148.200  -1.4402    
 628     47.664   -148.200   1.3550    
 629     52.464   -148.200 -0.98099    
 630     57.264   -148.200   1.6297    
 631     62.064   -148.200  0.75552    
 632     66.864   -148.200   2.0706    
 633     71.664   -148.200   2.2010    
 634     76.464   -148.200   4.4290    
 635     81.264   -148.200   7.3548    
 636     86.064   -148.200   8.3709    
 637     90.864   -148.200   4.0189    
 638     95.664   -148.200   6.8736    
 639    100.464   -148.200   2.0777    
 640    105.264   -148.200   4.9317    
 641    110.064   -148.200   3.8251    
 642    114.864   -148.200   2.4770    
 643    119.664   -148.200   5.0693    
 644    124.464   -148.200   3.5417    
 645    129.264   -148.200   5.2462    
 646    134.064   -148.200   8.5271    
 647    138.864   -148.200   11.253    
 648    143.664   -148.200   13.723    
 649    148.464   -148.200   8.3982    
