!
! 18-DEC-2018 16:14:36
! Input file  : serpens_co65_conv.30m
! Input command: ANALYSE\PRINT area 10.5 31 /OUTPUT smm3_co65_red.txt
!
 451    129.264   -167.400   13.544    
 452    134.064   -167.400   12.143    
 453    138.864   -167.400   8.2312    
 454    143.664   -167.400   7.3035    
 455    148.464   -167.400   2.7157    
 456    153.264   -167.400   1.9316    
 457    158.064   -167.400   1.4060    
 458    162.864   -167.400  -2.1783    
 459    167.664   -167.400  0.55330    
 460    172.464   -167.400 -0.37757    
 461    177.264   -167.400 -0.15978    
 462    182.064   -167.400   1.4378    
 463    186.864   -167.400  -1.2100    
 464    191.664   -167.400   1.5579    
 465    196.464   -167.400  -5.5525    
 466    201.264   -167.400  -3.2086    
 467    206.064   -167.400 -0.50970    
 468    210.864   -167.400   6.1991    
 469    215.664   -167.400   6.8602    
 470    215.664   -162.600  0.74160    
 471    210.864   -162.600   1.3387    
 472    206.064   -162.600 -2.88876E-02
 473    201.264   -162.600  -2.7577    
 474    196.464   -162.600   1.1583    
 475    191.664   -162.600  0.32862    
 476    186.864   -162.600  -1.8428    
 477    182.064   -162.600  0.68713    
 478    177.264   -162.600 -0.72345    
 479    172.464   -162.600   1.7621    
 480    167.664   -162.600   1.5509    
 481    162.864   -162.600  0.16838    
 482    158.064   -162.600   1.9492    
 483    153.264   -162.600   1.9519    
 484    148.464   -162.600   1.2342    
 485    143.664   -162.600   3.3630    
 486    138.864   -162.600   8.5038    
 487    134.064   -162.600   11.047    
 488    129.264   -162.600   13.993    
 489    124.464   -162.600   12.169    
 490    119.664   -162.600   11.232    
 491    114.864   -162.600   11.558    
 492    110.064   -162.600   12.464    
 493    105.264   -162.600   6.9592    
 494    100.464   -162.600   7.9080    
 495     95.664   -162.600   4.6457    
 496     90.864   -162.600   5.2760    
 497     86.064   -162.600   3.3846    
 498     81.264   -162.600 -0.91177    
 499     76.464   -162.600 -0.83186    
 500     71.664   -162.600   1.4458    
 501     66.864   -162.600  -1.1600    
 502     62.064   -162.600 -0.96696    
 503     57.264   -162.600 -0.95069    
 504     52.464   -162.600   1.1229    
 505     47.664   -162.600 -0.20461    
 506     42.864   -162.600   3.2385    
 507     38.064   -162.600   1.2702    
 508     33.264   -162.600   1.4213    
 509     28.464   -162.600   1.5350    
 510     23.664   -162.600  0.41189    
 511     18.864   -162.600  0.33174    
 512     14.064   -162.600 -0.48087    
 513      9.264   -162.600 -0.83941    
 514      4.464   -162.600  -4.3464    
 515     -0.336   -162.600  -1.7771    
 516     -5.136   -162.600  -2.4277    
 517     -9.936   -162.600   4.6461    
 518    -14.736   -162.600   4.6562    
 519    -14.736   -157.800   4.6562    
 520     -9.936   -157.800 -0.15661    
 521     -5.136   -157.800 -0.72752    
 522     -0.336   -157.800   2.7563    
 523      4.464   -157.800   3.8713    
 524      9.264   -157.800   1.1090    
 525     14.064   -157.800 -0.35005    
 526     18.864   -157.800  0.35480    
 527     23.664   -157.800  0.32282    
 528     28.464   -157.800 -0.95912    
 529     33.264   -157.800   1.5320    
 530     38.064   -157.800   1.7198    
 531     42.864   -157.800   1.2585    
 532     47.664   -157.800   2.9139    
 533     52.464   -157.800   1.5059    
 534     57.264   -157.800  -2.3122    
 535     62.064   -157.800   2.1403    
 536     66.864   -157.800   4.3849    
 537     71.664   -157.800  0.94997    
 538     76.464   -157.800   1.8055    
 539     81.264   -157.800   1.0299    
 540     86.064   -157.800   3.6955    
 541     90.864   -157.800   2.9961    
 542     95.664   -157.800   6.5713    
 543    100.464   -157.800   6.5098    
 544    105.264   -157.800   9.8018    
 545    110.064   -157.800   10.701    
 546    114.864   -157.800   10.054    
 547    119.664   -157.800   13.068    
 548    124.464   -157.800   12.884    
 549    129.264   -157.800   12.377    
 550    134.064   -157.800   9.7233    
 551    138.864   -157.800   6.4282    
 552    143.664   -157.800   3.2186    
 553    148.464   -157.800   2.2279    
 554    153.264   -157.800   2.5175    
 555    158.064   -157.800   1.7998    
 556    162.864   -157.800   3.8938    
 557    167.664   -157.800   1.9389    
 558    172.464   -157.800  4.39187E-02
 559    177.264   -157.800  0.34905    
 560    182.064   -157.800   2.2596    
 561    186.864   -157.800  0.77356    
 562    191.664   -157.800  -2.1368    
 563    196.464   -157.800  -2.9262    
 564    201.264   -157.800   3.6166    
 565    206.064   -157.800   5.1712    
 566    210.864   -157.800  -2.4567    
 567    215.664   -157.800  -1.1266    
 568    215.664   -153.000   4.1831    
 569    210.864   -153.000   4.5686    
 570    206.064   -153.000 -0.58424    
 571    201.264   -153.000 -0.95304    
 572    196.464   -153.000 -0.56911    
 573    191.664   -153.000   2.3408    
 574    186.864   -153.000   1.6477    
 575    182.064   -153.000  4.42916E-02
 576    177.264   -153.000   3.4565    
 577    172.464   -153.000   8.2355    
 578    167.664   -153.000   6.0880    
 579    162.864   -153.000   5.0157    
 580    158.064   -153.000   4.2045    
 581    153.264   -153.000   3.8645    
 582    148.464   -153.000   4.4837    
 583    143.664   -153.000   7.8661    
 584    138.864   -153.000   8.7009    
 585    134.064   -153.000   8.5688    
 586    129.264   -153.000   14.837    
 587    124.464   -153.000   15.254    
 588    119.664   -153.000   12.708    
 589    114.864   -153.000   13.424    
 590    110.064   -153.000   12.216    
 591    105.264   -153.000   9.2274    
 592    100.464   -153.000   6.9830    
 593     95.664   -153.000   5.0667    
 594     90.864   -153.000   4.1484    
 595     86.064   -153.000   2.8255    
 596     81.264   -153.000   3.1987    
 597     76.464   -153.000   4.2344    
 598     71.664   -153.000   1.9325    
 599     66.864   -153.000   2.7098    
 600     62.064   -153.000   4.1936    
 601     57.264   -153.000   3.1697    
 602     52.464   -153.000   1.9814    
 603     47.664   -153.000   2.1985    
 604     42.864   -153.000   1.1749    
 605     38.064   -153.000 -0.72221    
 606     33.264   -153.000   2.3535    
 607     28.464   -153.000  0.95196    
 608     23.664   -153.000   4.2378    
 609     18.864   -153.000  0.16111    
 610     14.064   -153.000  0.83104    
 611      9.264   -153.000   2.9511    
 612      4.464   -153.000  -4.7951    
 613     -0.336   -153.000   2.0834    
 614     -5.136   -153.000  0.85045    
 615     -9.936   -153.000  -3.1943    
 616     -9.936   -148.200  -1.2369    
 617     -5.136   -148.200  -1.7123    
 618     -0.336   -148.200 -0.69995    
 619      4.464   -148.200   1.3436    
 620      9.264   -148.200 -0.84383    
 621     14.064   -148.200   2.0670    
 622     18.864   -148.200  -2.1809    
 623     23.664   -148.200 -0.61491    
 624     28.464   -148.200   1.6410    
 625     33.264   -148.200  0.91685    
 626     38.064   -148.200   1.3039    
 627     42.864   -148.200  0.70209    
 628     47.664   -148.200   2.6121    
 629     52.464   -148.200   1.2229    
 630     57.264   -148.200   2.2968    
 631     62.064   -148.200 -0.39903    
 632     66.864   -148.200   5.3139    
 633     71.664   -148.200   3.4366    
 634     76.464   -148.200   3.0632    
 635     81.264   -148.200   6.5017    
 636     86.064   -148.200   8.8651    
 637     90.864   -148.200   5.2593    
 638     95.664   -148.200   5.0242    
 639    100.464   -148.200   8.5514    
 640    105.264   -148.200   12.705    
 641    110.064   -148.200   15.393    
 642    114.864   -148.200   10.511    
 643    119.664   -148.200   12.296    
 644    124.464   -148.200   10.158    
 645    129.264   -148.200   9.5195    
 646    134.064   -148.200   6.6020    
 647    138.864   -148.200   7.3682    
 648    143.664   -148.200   7.0730    
 649    148.464   -148.200   1.7346    
 650    153.264   -148.200   1.2714    
 651    158.064   -148.200  0.21089    
 652    162.864   -148.200   5.0305    
 653    167.664   -148.200   3.3246    
 654    172.464   -148.200   2.8604    
 655    177.264   -148.200   4.0111    
 656    182.064   -148.200   2.5482    
 657    186.864   -148.200   1.3469    
 658    191.664   -148.200   1.2025    
 659    196.464   -148.200  0.12567    
 660    201.264   -148.200   4.3987    
 661    206.064   -148.200  0.43369    
 662    210.864   -148.200  -3.1668    
 663    215.664   -148.200  -3.7723    
 664    215.664   -143.400   5.3177    
 665    210.864   -143.400   6.0229    
 666    206.064   -143.400   7.2690    
 667    201.264   -143.400  0.31955    
 668    196.464   -143.400   2.3095    
 669    191.664   -143.400   3.4287    
 670    186.864   -143.400 -8.60963E-02
 671    182.064   -143.400  0.67768    
 672    177.264   -143.400  0.23614    
 673    172.464   -143.400   1.6801    
 674    167.664   -143.400   4.0945    
 675    162.864   -143.400  0.84441    
 676    158.064   -143.400   3.4269    
 677    153.264   -143.400  0.43548    
 678    148.464   -143.400   3.6090    
 679    143.664   -143.400   1.9542    
 680    138.864   -143.400   6.1853    
 681    134.064   -143.400   5.4964    
 682    129.264   -143.400   7.4958    
 683    124.464   -143.400   10.061    
 684    119.664   -143.400   9.5275    
 685    114.864   -143.400   8.1716    
 686    110.064   -143.400   12.739    
 687    105.264   -143.400   11.929    
 688    100.464   -143.400   8.7353    
 689     95.664   -143.400   5.6006    
 690     90.864   -143.400   1.2811    
 691     86.064   -143.400   1.7404    
 692     81.264   -143.400  -1.0670    
 693     76.464   -143.400  0.20441    
 694     71.664   -143.400   1.7983    
 695     66.864   -143.400   1.5081    
 696     62.064   -143.400  0.94189    
 697     57.264   -143.400   1.1487    
 698     52.464   -143.400  0.47928    
 699     47.664   -143.400  -2.1686    
 700     42.864   -143.400 -0.62942    
 701     38.064   -143.400  -1.7898    
 702     33.264   -143.400  -1.3223    
 703     28.464   -143.400   1.0760    
 704     23.664   -143.400  0.78903    
 705     18.864   -143.400 -0.26282    
 706     14.064   -143.400   2.8569    
 707      9.264   -143.400 -0.60479    
 708      4.464   -143.400   4.2169    
 709     -0.336   -143.400   9.9654    
 710     -5.136   -143.400  0.18471    
 711     -9.936   -143.400  -4.1034    
 712    -14.736   -138.600   1.0335    
 713     -9.936   -138.600   1.0279    
 714     -5.136   -138.600   3.3975    
 715     -0.336   -138.600   3.1415    
 716      4.464   -138.600  -7.0189    
 717      9.264   -138.600   1.1270    
 718     14.064   -138.600   1.3375    
 719     18.864   -138.600   2.3352    
 720     23.664   -138.600 -0.10165    
 721     28.464   -138.600   1.8665    
 722     33.264   -138.600  -1.5497    
 723     38.064   -138.600  0.34806    
 724     42.864   -138.600  0.59485    
 725     47.664   -138.600  0.63510    
 726     52.464   -138.600  1.04502E-02
 727     57.264   -138.600   1.1872    
 728     62.064   -138.600   2.6893    
 729     66.864   -138.600   2.5932    
 730     71.664   -138.600 -0.34284    
 731     76.464   -138.600 -0.60244    
 732     81.264   -138.600   1.4222    
 733     86.064   -138.600   1.5380    
 734     90.864   -138.600   4.9750    
 735     95.664   -138.600   6.8333    
 736    100.464   -138.600   13.186    
 737    105.264   -138.600   15.066    
 738    110.064   -138.600   11.292    
 739    114.864   -138.600   7.0393    
 740    119.664   -138.600   5.3416    
 741    124.464   -138.600   6.1803    
