!
! 02-MAY-2019 21:54:14
! Input file  : serpens_h13cn10_red.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 332  *********   4327.700  -1.6155    
 333  *********   4327.700  -1.0343    
 334  *********   4327.700  0.57483    
 335  *********   4327.700   1.1900    
 336  *********   4327.700  0.86434    
 337  *********   4327.700 -0.58482    
 338  *********   4327.700  0.21728    
 339  *********   4327.700  -1.0135    
 340  *********   4327.700  0.36879    
 341  *********   4327.700   2.8577    
 342  *********   4327.700 -5.33039E-03
 343  *********   4327.700  0.96286    
 344  *********   4327.700   1.1479    
 345  *********   4327.700  0.31303    
 346  *********   4327.700 -0.27637    
 347  *********   4327.700  -1.1641    
 348  *********   4327.700  0.72424    
 349  *********   4347.700  -1.7646    
 350  *********   4347.700 -0.59124    
 351  *********   4347.700 -0.68862    
 352  *********   4347.700 -0.29572    
 353  *********   4347.700  -1.9282    
 354  *********   4347.700 -0.27230    
 355  *********   4347.700  1.06058E-02
 356  *********   4347.700  -1.0879    
 357  *********   4347.700   2.0303    
 358  *********   4347.700 -2.86117E-02
 359  *********   4347.700   1.7076    
 360  *********   4347.700 -0.23500    
 361  *********   4347.700   1.1205    
 362  *********   4347.700   1.1783    
 363  *********   4347.700  0.84806    
 364  *********   4347.700   1.2165    
 365  *********   4347.700   1.7751    
 366  *********   4347.700   2.6234    
 367  *********   4347.700   1.0161    
 368  *********   4347.700  0.26930    
 369  *********   4347.700   1.7786    
 370  *********   4347.700   1.7005    
 371  *********   4347.700   1.3912    
 372  *********   4347.700  0.45671    
 373  *********   4347.700   1.1947    
 374  *********   4347.700  2.93330E-02
 375  *********   4347.700   2.0490    
 376  *********   4347.700   1.7926    
 377  *********   4347.700  0.54025    
 378  *********   4347.700   1.5140    
 379  *********   4347.700  0.81662    
 380  *********   4347.700  0.50365    
 381  *********   4347.700   2.5087    
 382  *********   4347.700 -0.17310    
 383  *********   4347.700  -2.7339    
 384  *********   4347.700   1.4489    
 385  *********   4347.700   2.7814    
 386  *********   4347.700   1.0565    
 387  *********   4347.700  0.62259    
 388  *********   4347.700   1.9006    
 389  *********   4347.700  0.91139    
 390  *********   4347.700 -0.88839    
 391  *********   4347.700   2.0418    
 392  *********   4347.700   1.8966    
 393  *********   4347.700 -0.96007    
 394  *********   4347.700   2.8032    
 395  *********   4347.700   3.1700    
 396  *********   4347.700 -6.74702E-02
 397  *********   4347.700  0.13716    
 398  *********   4347.700  0.82572    
 399  *********   4347.700  0.73330    
 400  *********   4347.700   2.4511    
 401  *********   4347.700  0.23505    
 402  *********   4347.700  0.65621    
 403  *********   4347.700   2.8394    
 404  *********   4347.700 -0.57764    
 405  *********   4347.700  1.42604E-02
 406  *********   4367.700  -1.6531    
 407  *********   4367.700   1.5145    
 408  *********   4367.700 -0.61125    
 409  *********   4367.700  0.43417    
 410  *********   4367.700 -0.31536    
 411  *********   4367.700   1.2183    
 412  *********   4367.700   2.9319    
 413  *********   4367.700   1.4197    
 414  *********   4367.700  -1.5511    
 415  *********   4367.700  0.19463    
 416  *********   4367.700   1.2698    
 417  *********   4367.700   1.9868    
 418  *********   4367.700   1.7075    
 419  *********   4367.700  9.75018E-02
 420  *********   4367.700  0.35927    
 421  *********   4367.700  0.91177    
 422  *********   4367.700 -0.44502    
 423  *********   4367.700  5.68600E-02
 424  *********   4367.700   2.7773    
 425  *********   4367.700   2.0284    
 426  *********   4367.700  -1.7172    
 427  *********   4367.700   1.0835    
 428  *********   4367.700 -0.40255    
 429  *********   4367.700   3.7553    
 430  *********   4367.700   1.7174    
 431  *********   4367.700   2.3684    
 432  *********   4367.700   1.4341    
 433  *********   4367.700 -6.38016E-02
 434  *********   4367.700   3.6789    
 435  *********   4367.700 -3.47154E-02
 436  *********   4367.700   2.0611    
 437  *********   4367.700   2.2878    
 438  *********   4367.700   1.8416    
 439  *********   4367.700  -1.5735    
 440  *********   4367.700   1.2115    
 441  *********   4367.700   2.9422    
 442  *********   4367.700  0.68762    
 443  *********   4367.700  0.34750    
 444  *********   4367.700   3.5186    
 445  *********   4367.700  0.88368    
 446  *********   4367.700   3.7170    
 447  *********   4367.700   2.0409    
 448  *********   4367.700   1.6650    
 449  *********   4367.700   1.7793    
 450  *********   4367.700   3.2371    
 451  *********   4367.700   1.8531    
 452  *********   4367.700   1.8360    
 453  *********   4367.700   2.7992    
 454  *********   4367.700   1.5187    
 455  *********   4367.700   1.1012    
 456  *********   4367.700  -1.5846    
 457  *********   4367.700 -0.46662    
 458  *********   4367.700  0.21569    
 459  *********   4367.700  -1.0385    
 460  *********   4367.700  0.78682    
 461  *********   4367.700  0.65174    
 462  *********   4367.700   2.0437    
 463  *********   4367.700  0.28244    
 464  *********   4367.700  -1.3265    
 465  *********   4387.700  0.87876    
 466  *********   4387.700   1.4501    
 467  *********   4387.700  -1.5424    
 468  *********   4387.700 -0.12809    
 469  *********   4387.700   1.7300    
 470  *********   4387.700  0.74288    
 471  *********   4387.700  0.46289    
 472  *********   4387.700  -1.2062    
 473  *********   4387.700   1.5883    
 474  *********   4387.700   3.6216    
 475  *********   4387.700   2.6257    
 476  *********   4387.700  0.93631    
 477  *********   4387.700 -0.60298    
 478  *********   4387.700   1.9331    
 479  *********   4387.700   1.0808    
 480  *********   4387.700   3.9822    
 481  *********   4387.700   1.8584    
 482  *********   4387.700   1.4356    
 483  *********   4387.700   1.2452    
 484  *********   4387.700 -0.37994    
 485  *********   4387.700  0.62225    
 486  *********   4387.700   2.4465    
 487  *********   4387.700   1.6003    
 488  *********   4387.700   2.4676    
 489  *********   4387.700   2.5459    
 490  *********   4387.700   1.9499    
 491  *********   4387.700  0.56845    
 492  *********   4387.700   3.2395    
 493  *********   4387.700   2.4678    
 494  *********   4387.700   1.7154    
 495  *********   4387.700   1.6434    
 496  *********   4387.700   2.3212    
 497  *********   4387.700   2.3630    
 498  *********   4387.700   3.4017    
 499  *********   4387.700   3.5006    
 500  *********   4387.700   4.3221    
 501  *********   4387.700   3.2372    
 502  *********   4387.700   2.0722    
 503  *********   4387.700   2.4808    
 504  *********   4387.700   3.2738    
 505  *********   4387.700  0.93712    
 506  *********   4387.700   1.4178    
 507  *********   4387.700   1.6652    
 508  *********   4387.700   1.1691    
 509  *********   4387.700   1.8598    
 510  *********   4387.700   2.5165    
 511  *********   4387.700   2.5322    
 512  *********   4387.700  0.10093    
 513  *********   4387.700  0.58965    
 514  *********   4387.700 -0.29040    
 515  *********   4387.700 -3.17170E-02
 516  *********   4387.700  0.51302    
 517  *********   4387.700   2.0505    
 518  *********   4387.700  0.86254    
 519  *********   4387.700 -4.04604E-02
 520  *********   4387.700  0.95462    
 521  *********   4387.700 -0.37414    
 522  *********   4407.700   1.3518    
 523  *********   4407.700  0.74393    
 524  *********   4407.700   1.5970    
 525  *********   4407.700   2.1480    
 526  *********   4407.700   2.3566    
 527  *********   4407.700  0.40593    
 528  *********   4407.700   1.7613    
 529  *********   4407.700   1.3737    
 530  *********   4407.700  7.36842E-02
 531  *********   4407.700   2.9322    
 532  *********   4407.700  0.54030    
 533  *********   4407.700   2.0426    
 534  *********   4407.700   2.9212    
 535  *********   4407.700   1.3672    
 536  *********   4407.700 -6.03585E-02
 537  *********   4407.700   1.4730    
 538  *********   4407.700   1.8402    
 539  *********   4407.700   1.3307    
 540  *********   4407.700   1.2328    
 541  *********   4407.700   1.4590    
 542  *********   4407.700   3.0445    
 543  *********   4407.700   1.3942    
 544  *********   4407.700 -0.45756    
 545  *********   4407.700   1.2293    
 546  *********   4407.700   3.0441    
 547  *********   4407.700   1.3039    
 548  *********   4407.700   2.4561    
 549  *********   4407.700  0.69423    
 550  *********   4407.700  4.85630E-02
 551  *********   4407.700   1.0084    
 552  *********   4407.700   2.8493    
 553  *********   4407.700  0.64374    
 554  *********   4407.700  0.85790    
 555  *********   4407.700  0.79934    
 556  *********   4407.700   1.3993    
 557  *********   4407.700  0.91316    
 558  *********   4407.700 -0.19506    
 559  *********   4407.700   1.2245    
 560  *********   4407.700   2.5025    
 561  *********   4407.700   2.7113    
 562  *********   4407.700 -0.16255    
