!
! 05-JAN-2020 19:43:15
! Input file  : ngc1333_cs32_conv.30m
! Input command: ANALYSE\PRINT area -18.6 -7.2 /OUTPUT ngc1333_cs32_int.txt
!
 449   -166.280    -62.203  0.54712    
 450   -175.080    -62.203  0.11888    
 451   -183.880    -62.203  0.32966    
 452   -192.680    -62.203  0.32969    
 453   -192.680    -53.403 -0.20984    
 454   -183.880    -53.403 -0.20984    
 455   -175.080    -53.403  0.39131    
 456   -166.280    -53.403  0.45694    
 457   -157.480    -53.403  0.68684    
 458   -148.680    -53.403  0.89025    
 459   -139.880    -53.403   1.3317    
 460   -131.080    -53.403   1.6193    
 461   -122.280    -53.403   1.8456    
 462   -113.480    -53.403   2.1599    
 463   -104.680    -53.403   2.8875    
 464    -95.880    -53.403   2.7515    
 465    -87.080    -53.403   2.7642    
 466    -78.280    -53.403   2.6168    
 467    -69.480    -53.403   2.3405    
 468    -60.680    -53.403   1.6656    
 469    -51.880    -53.403   1.9199    
 470    -43.080    -53.403   2.8534    
 471    -34.280    -53.403   2.9759    
 472    -25.480    -53.403   3.5645    
 473    -16.680    -53.403   4.0390    
 474     -7.880    -53.403   3.9426    
 475      0.920    -53.403   3.9950    
 476      9.720    -53.403   4.5796    
 477     18.520    -53.403   4.6385    
 478     27.320    -53.403   4.8410    
 479     36.120    -53.403   3.9321    
 480     44.920    -53.403   3.8040    
 481     53.720    -53.403   3.5868    
 482     62.520    -53.403   4.6909    
 483     71.320    -53.403   3.8364    
 484     80.120    -53.403   4.0060    
 485     88.920    -53.403   3.9424    
 486     97.720    -53.403   4.7139    
 487    106.520    -53.403   4.7565    
 488    115.320    -53.403   4.3801    
 489    124.120    -53.403   4.4117    
 490    132.920    -53.403   3.9556    
 491    141.720    -53.403   4.9631    
 492    150.520    -53.403   5.1947    
 493    159.320    -53.403   5.9437    
 494    168.120    -53.403   5.6307    
 495    176.920    -53.403   6.3472    
 496    185.720    -53.403   7.9741    
 497    194.520    -53.403   14.140    
 498    203.320    -53.403   9.7397    
 499    212.120    -53.403   6.5410    
 500    220.920    -53.403   3.3257    
 501    229.720    -53.403   2.6821    
 502    238.520    -53.403   3.0313    
 503    247.320    -53.403   3.3067    
 504    256.120    -53.403   3.4410    
 505    264.920    -53.403   2.4121    
 506    273.720    -53.403   3.1127    
 507    282.520    -53.403   2.5667    
 508    291.320    -44.603   1.6544    
 509    282.520    -44.603   1.3583    
 510    273.720    -44.603   1.6972    
 511    264.920    -44.603   2.0985    
 512    256.120    -44.603  0.44827    
 513    247.320    -44.603   2.1023    
 514    238.520    -44.603   2.4367    
 515    229.720    -44.603   2.7730    
 516    220.920    -44.603   5.0803    
 517    212.120    -44.603   5.7405    
 518    203.320    -44.603   9.4257    
 519    194.520    -44.603   9.8275    
 520    185.720    -44.603   6.7890    
 521    176.920    -44.603   5.9417    
 522    168.120    -44.603   6.1982    
 523    159.320    -44.603   6.2957    
 524    150.520    -44.603   5.3660    
 525    141.720    -44.603   5.1686    
 526    132.920    -44.603   4.2747    
 527    124.120    -44.603   4.4087    
 528    115.320    -44.603   4.4769    
 529    106.520    -44.603   4.2785    
 530     97.720    -44.603   4.2776    
 531     88.920    -44.603   4.7893    
 532     80.120    -44.603   4.5640    
 533     71.320    -44.603   5.0422    
 534     62.520    -44.603   4.9270    
 535     53.720    -44.603   4.6492    
 536     44.920    -44.603   4.3576    
 537     36.120    -44.603   4.0593    
 538     27.320    -44.603   5.1543    
 539     18.520    -44.603   5.2696    
 540      9.720    -44.603   5.1710    
 541      0.920    -44.603   4.4225    
 542     -7.880    -44.603   4.2390    
 543    -16.680    -44.603   3.6889    
 544    -25.480    -44.603   3.3939    
 545    -34.280    -44.603   3.3767    
 546    -43.080    -44.603   2.5777    
 547    -51.880    -44.603   2.7479    
 548    -60.680    -44.603   1.8029    
 549    -69.480    -44.603   2.4224    
 550    -78.280    -44.603   2.7028    
 551    -87.080    -44.603   3.7806    
 552    -95.880    -44.603   2.5726    
 553   -104.680    -44.603   2.6529    
 554   -113.480    -44.603   2.4979    
 555   -122.280    -44.603   1.8124    
 556   -131.080    -44.603  0.74126    
 557   -139.880    -44.603  0.92888    
 558   -148.680    -44.603  0.38089    
 559   -157.480    -44.603  0.24413    
 560   -166.280    -44.603  0.30616    
 561   -175.080    -44.603  0.37062    
 562   -183.880    -44.603 -0.31271    
 563   -192.680    -44.603 -0.33236    
 564   -192.680    -35.803  0.21115    
 565   -183.880    -35.803  0.21716    
 566   -175.080    -35.803  0.46226    
 567   -166.280    -35.803  0.35007    
 568   -157.480    -35.803  0.64585    
 569   -148.680    -35.803  0.62715    
 570   -139.880    -35.803  0.94134    
 571   -131.080    -35.803   1.5162    
 572   -122.280    -35.803   1.7916    
 573   -113.480    -35.803   2.3252    
 574   -104.680    -35.803   2.8273    
 575    -95.880    -35.803   3.0233    
 576    -87.080    -35.803   3.5357    
 577    -78.280    -35.803   2.7142    
 578    -69.480    -35.803   2.6761    
 579    -60.680    -35.803   2.8166    
 580    -51.880    -35.803   2.8445    
 581    -43.080    -35.803   3.3972    
 582    -34.280    -35.803   3.5120    
 583    -25.480    -35.803   3.2612    
 584    -16.680    -35.803   3.8064    
 585     -7.880    -35.803   4.2647    
 586      0.920    -35.803   5.1501    
 587      9.720    -35.803   5.1644    
 588     18.520    -35.803   6.7261    
 589     27.320    -35.803   5.2804    
 590     36.120    -35.803   3.8293    
 591     44.920    -35.803   4.3561    
 592     53.720    -35.803   5.4515    
 593     62.520    -35.803   5.7922    
 594     71.320    -35.803   6.1052    
 595     80.120    -35.803   5.0339    
 596     88.920    -35.803   5.1534    
 597     97.720    -35.803   3.8326    
 598    106.520    -35.803   4.0026    
 599    115.320    -35.803   4.6350    
 600    124.120    -35.803   4.6565    
 601    132.920    -35.803   4.8840    
 602    141.720    -35.803   4.9127    
 603    150.520    -35.803   6.1504    
 604    159.320    -35.803   6.4414    
 605    168.120    -35.803   5.5694    
 606    176.920    -35.803   5.3310    
 607    185.720    -35.803   5.6446    
 608    194.520    -35.803   8.5950    
 609    203.320    -35.803   7.3504    
 610    212.120    -35.803   6.9314    
 611    220.920    -35.803   4.9123    
 612    229.720    -35.803   2.2284    
 613    238.520    -35.803   3.9194    
 614    247.320    -35.803   1.2585    
 615    256.120    -35.803   2.0400    
 616    264.920    -35.803   1.6914    
 617    273.720    -35.803   1.5567    
 618    282.520    -35.803   1.2414    
 619    291.320    -35.803  0.15581    
 620    300.120    -27.003 -0.23673    
 621    291.320    -27.003 -0.11988    
 622    282.520    -27.003  1.72233E-02
 623    273.720    -27.003   1.5898    
 624    264.920    -27.003   2.4715    
 625    256.120    -27.003   1.4303    
 626    247.320    -27.003   3.3151    
 627    238.520    -27.003   2.9845    
 628    229.720    -27.003   4.9909    
 629    220.920    -27.003   5.3464    
 630    212.120    -27.003   5.8133    
 631    203.320    -27.003   7.7410    
 632    194.520    -27.003   6.8588    
 633    185.720    -27.003   5.9870    
 634    176.920    -27.003   5.4874    
 635    168.120    -27.003   4.9108    
 636    159.320    -27.003   5.4713    
 637    150.520    -27.003   5.4596    
 638    141.720    -27.003   5.1802    
 639    132.920    -27.003   4.8292    
 640    124.120    -27.003   4.7228    
 641    115.320    -27.003   4.1325    
 642    106.520    -27.003   3.9463    
 643     97.720    -27.003   4.1254    
 644     88.920    -27.003   4.7850    
 645     80.120    -27.003   7.3263    
 646     71.320    -27.003   7.8422    
 647     62.520    -27.003   8.0903    
 648     53.720    -27.003   6.2964    
 649     44.920    -27.003   4.3729    
 650     36.120    -27.003   4.4996    
 651     27.320    -27.003   4.8462    
 652     18.520    -27.003   5.9284    
 653      9.720    -27.003   5.6866    
 654      0.920    -27.003   4.8907    
 655     -7.880    -27.003   4.7991    
 656    -16.680    -27.003   4.5303    
 657    -25.480    -27.003   3.6100    
 658    -34.280    -27.003   4.0879    
 659    -43.080    -27.003   3.7017    
 660    -51.880    -27.003   3.4520    
 661    -60.680    -27.003   3.5413    
 662    -69.480    -27.003   3.8036    
 663    -78.280    -27.003   3.2632    
 664    -87.080    -27.003   3.6369    
 665    -95.880    -27.003   3.2079    
 666   -104.680    -27.003   2.3999    
 667   -113.480    -27.003   2.2784    
 668   -122.280    -27.003   2.1664    
 669   -131.080    -27.003   1.4664    
 670   -139.880    -27.003  0.84372    
 671   -148.680    -27.003  0.73762    
 672   -157.480    -27.003  0.55489    
 673   -166.280    -27.003  0.99880    
 674   -175.080    -27.003  0.45363    
 675   -183.880    -27.003  0.36676    
 676   -192.680    -27.003  0.36987    
 677   -192.680    -18.203 -0.51056    
 678   -183.880    -18.203 -0.43268    
 679   -175.080    -18.203  0.80242    
 680   -166.280    -18.203  0.82970    
 681   -157.480    -18.203  0.72325    
 682   -148.680    -18.203   1.3624    
 683   -139.880    -18.203   1.1643    
 684   -131.080    -18.203   1.5168    
 685   -122.280    -18.203   2.1493    
 686   -113.480    -18.203   2.4419    
 687   -104.680    -18.203   2.7464    
 688    -95.880    -18.203   3.2903    
 689    -87.080    -18.203   3.5186    
 690    -78.280    -18.203   3.4514    
 691    -69.480    -18.203   3.0824    
 692    -60.680    -18.203   3.2565    
 693    -51.880    -18.203   2.8641    
 694    -43.080    -18.203   3.4654    
 695    -34.280    -18.203   3.3150    
 696    -25.480    -18.203   3.8369    
 697    -16.680    -18.203   4.4726    
 698     -7.880    -18.203   4.8404    
 699      0.920    -18.203   5.8614    
 700      9.720    -18.203   5.6658    
 701     18.520    -18.203   5.9869    
 702     27.320    -18.203   5.1524    
 703     36.120    -18.203   5.1155    
 704     44.920    -18.203   6.7979    
 705     53.720    -18.203   10.494    
 706     62.520    -18.203   12.595    
 707     71.320    -18.203   14.044    
 708     80.120    -18.203   10.174    
 709     88.920    -18.203   5.6007    
 710     97.720    -18.203   4.7763    
 711    106.520    -18.203   4.6648    
 712    115.320    -18.203   5.0829    
 713    124.120    -18.203   5.0173    
 714    132.920    -18.203   5.0551    
