!
! 15-AUG-2019 20:26:28
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -88.7 -86.9 /OUTPUT ngc1333_cn10_int_5.txt
!
 324    217.820    -18.203  0.12723    
 325    203.170    -18.203  0.24363    
 326    188.520    -18.203  0.26930    
 327    173.870    -18.203  0.26496    
 328    159.220    -18.203  0.22377    
 329    144.570    -18.203  0.11391    
 330    129.920    -18.203  4.01648E-02
 331    115.270    -18.203  0.15952    
 332    100.620    -18.203  0.17786    
 333     85.970    -18.203  7.18434E-02
 334     71.320    -18.203  5.16027E-03
 335     56.670    -18.203 -8.80292E-02
 336     42.020    -18.203 -2.10195E-02
 337     27.370    -18.203  0.11420    
 338     12.720    -18.203  0.21259    
 339     -1.930    -18.203  0.22051    
 340    -16.580    -18.203  0.16801    
 341    -31.230    -18.203  0.14100    
 342    -45.880    -18.203  0.18931    
 343    -60.530    -18.203  0.36701    
 344    -75.180    -18.203  0.34632    
 345    -89.830    -18.203  0.32012    
 346   -104.480    -18.203  0.22747    
 347   -119.130    -18.203  0.26299    
 348   -133.780    -18.203  0.30833    
 349   -148.430    -18.203  0.37143    
 350   -163.080    -18.203  0.31515    
 351   -177.730    -18.203  0.22734    
 352   -192.380    -18.203  0.24199    
 353   -207.030    -18.203  0.28894    
 354   -207.030     -3.553  0.24879    
 355   -192.380     -3.553  0.22758    
 356   -177.730     -3.553  0.19551    
 357   -163.080     -3.553  0.20901    
 358   -148.430     -3.553  0.30244    
 359   -133.780     -3.553  0.27715    
 360   -119.130     -3.553  0.21448    
 361   -104.480     -3.553  0.23168    
 362    -89.830     -3.553  0.25688    
 363    -75.180     -3.553  0.25806    
 364    -60.530     -3.553  0.25576    
 365    -45.880     -3.553  0.18400    
 366    -31.230     -3.553  0.21306    
 367    -16.580     -3.553  0.26527    
 368     -1.930     -3.553  0.29934    
 369     12.720     -3.553  0.22145    
 370     27.370     -3.553  0.16746    
 371     42.020     -3.553  9.44950E-02
 372     56.670     -3.553  8.87156E-02
 373     71.320     -3.553  0.17103    
 374     85.970     -3.553  0.27255    
 375    100.620     -3.553  0.29461    
 376    115.270     -3.553  0.31312    
 377    129.920     -3.553  0.19632    
 378    144.570     -3.553  0.18999    
 379    159.220     -3.553  0.28634    
 380    173.870     -3.553  0.29676    
 381    188.520     -3.553  0.16648    
 382    203.170     -3.553  0.20274    
 383    217.820     -3.553  0.23676    
 384    232.470     -3.553  0.13838    
 385    247.120     -3.553 -6.20395E-03
 386    261.770     -3.553  9.37867E-02
 387    276.420     -3.553  0.15673    
 388    291.070     -3.553  0.12320    
 389    305.720     -3.553  3.89058E-02
 390    320.370     -3.553 -2.74786E-02
 391    335.020     -3.553 -0.10566    
 392    349.670     -3.553 -0.15032    
 393    364.320     -3.553 -0.19632    
 394    364.320     11.097 -0.13175    
 395    349.670     11.097 -0.11106    
 396    335.020     11.097 -8.96969E-02
 397    320.370     11.097 -5.34955E-02
 398    305.720     11.097  1.74230E-02
 399    291.070     11.097  3.59098E-02
 400    276.420     11.097 -2.83901E-02
 401    261.770     11.097 -2.22301E-02
 402    247.120     11.097  3.03142E-02
 403    232.470     11.097  8.94573E-02
 404    217.820     11.097  0.16547    
 405    203.170     11.097  0.12946    
 406    188.520     11.097  0.16269    
 407    173.870     11.097  0.29770    
 408    159.220     11.097  0.34481    
 409    144.570     11.097  0.24928    
 410    129.920     11.097  0.22331    
 411    115.270     11.097  0.32246    
 412    100.620     11.097  0.35185    
 413     85.970     11.097  0.32138    
 414     71.320     11.097  0.24147    
 415     56.670     11.097  0.24058    
 416     42.020     11.097  0.21265    
 417     27.370     11.097  0.19943    
 418     12.720     11.097  0.24320    
 419     -1.930     11.097  0.35040    
 420    -16.580     11.097  0.27459    
 421    -31.230     11.097  0.18747    
 422    -45.880     11.097  0.14737    
 423    -60.530     11.097  0.11146    
 424    -75.180     11.097  5.93692E-02
 425    -89.830     11.097  9.97211E-02
 426   -104.480     11.097  0.15451    
 427   -119.130     11.097  0.14816    
 428   -133.780     11.097  1.59822E-02
 429   -148.430     11.097  1.17868E-02
 430   -163.080     11.097 -2.88643E-02
 431   -177.730     11.097 -6.85289E-02
 432   -192.380     11.097 -0.10700    
 433   -207.030     11.097 -0.13330    
 434   -207.030     25.747 -0.13172    
 435   -192.380     25.747 -3.84989E-02
 436   -177.730     25.747  1.61036E-02
 437   -163.080     25.747  1.80203E-02
 438   -148.430     25.747 -2.66329E-02
 439   -133.780     25.747  3.58737E-02
 440   -119.130     25.747  0.25390    
 441   -104.480     25.747  0.24640    
 442    -89.830     25.747  0.20898    
 443    -75.180     25.747  0.16086    
 444    -60.530     25.747  0.18234    
 445    -45.880     25.747  0.20701    
 446    -31.230     25.747  0.18401    
 447    -16.580     25.747  0.22320    
 448     -1.930     25.747  0.30341    
 449     12.720     25.747  0.23901    
 450     27.370     25.747  0.20080    
 451     42.020     25.747  0.25757    
 452     56.670     25.747  0.31405    
 453     71.320     25.747  0.26461    
 454     85.970     25.747  0.30089    
 455    100.620     25.747  0.36457    
 456    115.270     25.747  0.33718    
 457    129.920     25.747  0.21591    
 458    144.570     25.747  0.24981    
 459    159.220     25.747  0.32597    
 460    173.870     25.747  0.29955    
 461    188.520     25.747  0.20924    
 462    203.170     25.747  0.10521    
 463    217.820     25.747  6.19736E-02
 464    232.470     25.747 -1.22456E-02
 465    247.120     25.747 -1.29630E-02
 466    261.770     25.747 -5.41046E-02
 467    276.420     25.747 -0.10872    
 468    291.070     25.747 -7.00683E-02
 469    305.720     25.747 -5.67533E-02
 470    320.370     25.747 -3.62126E-02
 471    335.020     25.747  9.50267E-04
 472    349.670     25.747  1.18031E-02
 473    364.320     25.747 -2.16601E-03
 474    364.320     40.397  0.19774    
 475    349.670     40.397  0.14566    
 476    335.020     40.397  5.87987E-02
 477    320.370     40.397 -4.50064E-02
 478    305.720     40.397 -8.90815E-02
 479    291.070     40.397 -8.18570E-02
 480    276.420     40.397 -5.97794E-02
 481    261.770     40.397 -7.59619E-03
 482    247.120     40.397 -2.50828E-02
 483    232.470     40.397  8.27601E-02
 484    217.820     40.397  0.10337    
 485    203.170     40.397  0.12489    
 486    188.520     40.397  0.22709    
 487    173.870     40.397  0.27459    
 488    159.220     40.397  0.29986    
 489    144.570     40.397  0.20805    
 490    129.920     40.397  0.26280    
 491    115.270     40.397  0.37194    
 492    100.620     40.397  0.41672    
 493     85.970     40.397  0.35286    
 494     71.320     40.397  0.32067    
 495     56.670     40.397  0.33089    
 496     42.020     40.397  0.25217    
 497     27.370     40.397  0.20596    
 498     12.720     40.397  0.14917    
 499     -1.930     40.397  0.18957    
 500    -16.580     40.397  0.15523    
 501    -31.230     40.397  0.15395    
 502    -45.880     40.397  0.24735    
 503    -60.530     40.397  0.32532    
 504    -75.180     40.397  0.27104    
 505    -89.830     40.397  0.28671    
 506   -104.480     40.397  0.21640    
 507   -119.130     40.397  0.15727    
 508   -133.780     40.397  0.11049    
 509   -148.430     40.397  0.12049    
 510   -163.080     40.397  0.11377    
 511   -177.730     40.397  0.16573    
 512   -192.380     40.397  0.14905    
 513   -207.030     40.397  6.25017E-02
 514   -207.030     55.047  0.21326    
 515   -192.380     55.047  0.24879    
 516   -177.730     55.047  0.21516    
 517   -163.080     55.047  0.10800    
 518   -148.430     55.047  0.13213    
 519   -133.780     55.047  0.10531    
 520   -119.130     55.047  9.10724E-02
 521   -104.480     55.047  0.18098    
 522    -89.830     55.047  0.33260    
 523    -75.180     55.047  0.26394    
 524    -60.530     55.047  0.29851    
 525    -45.880     55.047  9.47031E-02
 526    -31.230     55.047  3.89912E-02
 527    -16.580     55.047  0.10775    
 528     -1.930     55.047  0.14162    
 529     12.720     55.047  5.40797E-02
 530     27.370     55.047  0.16346    
 531     42.020     55.047  0.16627    
 532     56.670     55.047  0.20580    
 533     71.320     55.047  0.22731    
 534     85.970     55.047  0.31921    
 535    100.620     55.047  0.34017    
 536    115.270     55.047  0.27894    
 537    129.920     55.047  0.15086    
 538    144.570     55.047  0.20819    
 539    159.220     55.047  0.26973    
 540    173.870     55.047  0.19700    
 541    188.520     55.047  0.13691    
 542    203.170     55.047  5.69755E-02
 543    217.820     55.047  7.79235E-02
 544    232.470     55.047  7.59622E-02
 545    247.120     55.047  1.56397E-02
 546    261.770     55.047  6.32997E-02
 547    276.420     55.047  5.86879E-02
 548    291.070     55.047  0.10698    
 549    305.720     55.047  0.18726    
 550    320.370     55.047  0.16293    
 551    335.020     55.047  0.14121    
 552    349.670     55.047  0.14578    
 553    364.320     55.047  0.16297    
 554    364.320     69.697  0.16918    
 555    349.670     69.697  0.16008    
 556    335.020     69.697  0.17165    
 557    320.370     69.697  0.21744    
 558    305.720     69.697  0.27414    
 559    291.070     69.697  0.17264    
 560    276.420     69.697  5.88152E-02
 561    261.770     69.697  5.82778E-02
 562    247.120     69.697  4.04331E-02
 563    232.470     69.697  3.75360E-02
 564    217.820     69.697  8.70844E-02
 565    203.170     69.697  0.13090    
 566    188.520     69.697  0.16898    
 567    173.870     69.697  0.24542    
 568    159.220     69.697  0.26651    
 569    144.570     69.697  0.22538    
 570    129.920     69.697  9.69943E-02
 571    115.270     69.697  0.15759    
 572    100.620     69.697  0.24463    
 573     85.970     69.697  0.29211    
 574     71.320     69.697  0.21621    
