!
! 15-AUG-2019 20:24:32
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -3.7 -1 /OUTPUT ngc1333_cn10_int_1.txt
!
 591   -177.730     69.697  0.69320    
 592   -192.380     69.697  0.68146    
 593   -207.030     69.697  0.59903    
 594   -207.030     84.347  0.61653    
 595   -192.380     84.347  0.68219    
 596   -177.730     84.347  0.69448    
 597   -163.080     84.347  0.72597    
 598   -148.430     84.347  0.73718    
 599   -133.780     84.347  0.70066    
 600   -119.130     84.347  0.66603    
 601   -104.480     84.347  0.61746    
 602    -89.830     84.347  0.54811    
 603    -75.180     84.347  0.47614    
 604    -60.530     84.347  0.46704    
 605    -45.880     84.347  0.39582    
 606    -31.230     84.347  0.28879    
 607    -16.580     84.347  0.15757    
 608     -1.930     84.347  9.79673E-02
 609     12.720     84.347  0.31322    
 610     27.370     84.347  0.63887    
 611     42.020     84.347  0.78579    
 612     56.670     84.347  0.87410    
 613     71.320     84.347   1.0298    
 614     85.970     84.347   1.5439    
 615    100.620     84.347   1.7568    
 616    115.270     84.347   1.5629    
 617    129.920     84.347   1.4282    
 618    144.570     84.347   1.4699    
 619    159.220     84.347   1.1802    
 620    173.870     84.347  0.97116    
 621    188.520     84.347  0.80899    
 622    203.170     84.347  0.40846    
 623    217.820     84.347  0.31651    
 624    232.470     84.347  0.21907    
 625    247.120     84.347  0.12947    
 626    261.770     84.347  0.25979    
 627    276.420     84.347  0.24030    
 628    291.070     84.347  0.23138    
 629    305.720     84.347  0.18567    
 630    320.370     84.347  0.19326    
 631    335.020     84.347  0.23022    
 632    349.670     84.347  0.29071    
 633    364.320     84.347  0.34587    
 634    364.320     98.997  0.36081    
 635    349.670     98.997  0.31115    
 636    335.020     98.997  0.25696    
 637    320.370     98.997  0.21961    
 638    305.720     98.997  0.18119    
 639    291.070     98.997  0.21722    
 640    276.420     98.997  0.22313    
 641    261.770     98.997  0.25586    
 642    247.120     98.997  9.19820E-02
 643    232.470     98.997  0.19990    
 644    217.820     98.997  0.33892    
 645    203.170     98.997  0.42540    
 646    188.520     98.997  0.90519    
 647    173.870     98.997  0.91014    
 648    159.220     98.997  0.93211    
 649    144.570     98.997   1.0114    
 650    129.920     98.997   1.1344    
 651    115.270     98.997   1.3480    
 652    100.620     98.997   1.3738    
 653     85.970     98.997   1.0033    
 654     71.320     98.997  0.71207    
 655     56.670     98.997  0.68576    
 656     42.020     98.997  0.70872    
 657     27.370     98.997  0.57889    
 658     12.720     98.997  8.61374E-02
 659     -1.930     98.997  3.35183E-03
 660    -16.580     98.997  0.16258    
 661    -31.230     98.997  0.29315    
