!
! 01-JUL-2019 22:53:53
! Input file  : spectraOdp.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 134865    -42.867    -90.000 -0.42257    
 134866    -39.867    -90.000  0.23085    
 134867    -36.867    -90.000  -1.9317    
 134868    -33.867    -90.000  -1.9833    
 134869    -30.867    -90.000 -0.14287    
 134870    -27.867    -90.000   1.2265    
 134871    -24.867    -90.000  0.60700    
 134872    -21.867    -90.000  0.37322    
 134873    -18.867    -90.000   1.4734    
 134874    -15.867    -90.000  2.74969E-02
 134875    -12.867    -90.000  -1.3971    
 134876     -9.867    -90.000   1.1348    
 134877     -6.867    -90.000  0.94872    
 134878     -3.867    -90.000   2.9490    
 134879     -0.867    -90.000 -0.52288    
 134880      2.133    -90.000 -0.34068    
 134881      5.133    -90.000   2.0563    
 134882      8.133    -90.000  0.63664    
 134883     11.133    -90.000  0.31466    
 134884     14.133    -90.000   1.2859    
 134885     17.133    -90.000   3.2921    
 134886     20.133    -90.000   1.2879    
 134887     23.133    -90.000   2.2164    
 134888     26.133    -90.000  0.81643    
 134889     29.133    -90.000   3.5403    
 134890     32.133    -90.000   1.3626    
 134891     35.133    -90.000  0.72246    
 134892     38.133    -90.000  -1.8600    
 134893     41.133    -90.000  -1.1238    
 134894     44.133    -90.000   1.3669    
 134895     47.133    -90.000   1.1178    
 134896     50.133    -90.000   1.8000    
 134897     53.133    -90.000  0.13310    
 134898     56.133    -90.000  0.16103    
 134899     59.133    -90.000 -4.23176E-03
 134900     62.133    -90.000  0.79358    
 134901     65.133    -90.000   2.7959    
 134902     68.133    -90.000  0.43456    
 134903     71.133    -90.000   2.1810    
 134904     74.133    -90.000   1.1753    
 134905     77.133    -90.000   1.1865    
 134906     80.133    -90.000  -1.0615    
 134907     83.133    -90.000 -0.98334    
 134908     86.133    -90.000  0.22457    
 134909     87.867    -70.000  -1.1414    
 134910     84.867    -70.000  0.23943    
 134911     81.867    -70.000  0.12605    
 134912     78.867    -70.000  0.38355    
 134913     75.867    -70.000  -1.0073    
 134914     72.867    -70.000  0.62382    
 134915     69.867    -70.000  0.87453    
 134916     66.867    -70.000 -0.38232    
 134917     63.867    -70.000   1.8647    
 134918     60.867    -70.000 -0.39484    
 134919     57.867    -70.000  0.66949    
 134920     54.867    -70.000  0.50955    
 134921     51.867    -70.000   1.5528    
 134922     48.867    -70.000   1.1053    
 134923     45.867    -70.000   1.7936    
 134924     42.867    -70.000   1.3598    
 134925     39.867    -70.000   2.0192    
 134926     36.867    -70.000   2.7977    
 134927     33.867    -70.000  0.62729    
 134928     30.867    -70.000   1.3425    
 134929     27.867    -70.000   2.2108    
 134930     24.867    -70.000   2.9052    
 134931     21.867    -70.000   3.0124    
 134932     18.867    -70.000  0.93946    
 134933     15.867    -70.000   2.2414    
